HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Season,HT VAL/AT VAL,HT Form,AT Form,Form Diffrence
Man United,Swansea,H,1.17,1.38,2011,9.82,10,5,5
Newcastle,Man City,AD,5.0,1.72,2011,0.26,15,13,2
QPR,Stoke,H,1.83,1.87,2011,0.89,9,6,3
Wolves,Everton,AD,5.0,1.66,2011,0.43,2,12,-10
Blackburn,Wigan,AD,2.4,1.73,2011,1.3,3,12,-9
Liverpool,Chelsea,H,2.1,1.83,2011,0.53,7,11,-4
Chelsea,Blackburn,H,1.3,1.4,2011,5.16,8,3,5
Everton,Newcastle,H,2.2,1.85,2011,1.58,10,12,-2
Man City,QPR,H,1.13,1.31,2011,4.35,15,9,6
Norwich,Aston Villa,H,2.2,1.69,2011,0.14,5,4,1
Stoke,Bolton,AD,2.38,1.8,2011,1.21,6,6,0
Sunderland,Man United,AD,7.0,1.6,2011,0.31,4,10,-6
Swansea,Liverpool,H,3.4,1.71,2011,0.16,5,10,-5
Tottenham,Fulham,H,1.4,1.63,2011,2.67,8,13,-5
West Brom,Arsenal,AD,5.0,1.58,2011,0.26,11,9,2
Wigan,Wolves,H,1.57,1.59,2011,0.85,12,3,9
Arsenal,Sunderland,AD,1.4,1.76,2012,2.31,0,0,0
Fulham,Norwich,H,1.8,1.89,2012,1.62,0,0,0
Newcastle,Tottenham,H,2.5,1.88,2012,0.61,0,0,0
QPR,Swansea,AD,2.0,2.09,2012,1.7,0,0,0
Reading,Stoke,AD,2.38,2.18,2012,0.37,0,0,0
West Brom,Liverpool,H,4.2,2.08,2012,0.3,0,0,0
West Ham,Aston Villa,H,2.2,2.03,2012,1.13,0,0,0
Man City,Southampton,H,1.17,1.5,2012,7.41,0,0,0
Wigan,Chelsea,AD,6.0,1.88,2012,0.2,0,0,0
Everton,Man United,H,4.33,1.97,2012,0.28,0,0,0
Chelsea,Reading,H,1.25,1.58,2012,9.28,3,1,2
Aston Villa,Everton,AD,2.9,2.19,2012,0.81,0,3,-3
Chelsea,Newcastle,H,1.5,1.65,2012,2.15,6,3,3
Man United,Fulham,H,1.29,1.62,2012,3.88,0,3,-3
Norwich,QPR,AD,2.25,1.8,2012,0.47,0,0,0
Southampton,Wigan,AD,2.1,1.92,2012,0.84,0,0,0
Swansea,West Ham,H,2.1,1.99,2012,0.77,3,3,0
Tottenham,West Brom,AD,1.5,1.65,2012,3.73,0,3,-3
Liverpool,Man City,AD,3.1,1.94,2012,0.54,0,3,-3
Stoke,Arsenal,AD,3.5,2.03,2012,0.41,1,1,0
