HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5
Arsenal,Liverpool,2,2,D,2.4,3.5,3.1,1.7,2.13
Everton,West Brom,2,1,H,1.6,4.1,6.5,1.67,2.16
Fulham,West Ham,3,1,H,2.2,3.5,3.5,1.83,1.97
Man United,Southampton,2,1,H,1.25,6.5,14.0,1.36,3.01
Norwich,Tottenham,1,1,D,4.75,3.75,1.83,1.78,2.02
Reading,Chelsea,2,2,D,7.5,4.5,1.5,1.58,2.33
Arsenal,Stoke,1,0,H,1.44,4.5,9.0,1.74,2.08
Everton,Aston Villa,3,3,D,1.4,5.0,9.0,1.66,2.2
Fulham,Man United,0,1,A,5.5,4.2,1.65,1.6,2.28
Newcastle,Chelsea,3,2,H,4.0,3.6,2.0,1.74,2.08
QPR,Norwich,0,0,D,1.95,3.6,4.33,1.91,1.88
Reading,Sunderland,2,1,H,2.5,3.4,3.0,1.96,1.83
West Ham,Swansea,1,0,H,2.4,3.4,3.2,1.9,1.89
Wigan,Southampton,2,2,D,2.2,3.5,3.5,1.8,2.0
Man City,Liverpool,2,2,D,1.83,3.9,4.5,1.67,2.18
West Brom,Tottenham,0,1,A,3.6,3.4,2.2,1.88,1.91
Chelsea,Wigan,4,1,H,1.36,5.5,9.5,1.49,2.52
Norwich,Fulham,0,0,D,2.3,3.4,3.4,1.95,1.84
Southampton,Man City,3,1,H,5.75,4.0,1.67,1.73,2.09
Stoke,Reading,2,1,H,1.91,3.5,4.6,2.03,1.77
Sunderland,Arsenal,0,1,A,4.5,3.6,1.91,1.87,1.91
Swansea,QPR,4,1,H,1.83,3.75,4.75,2.05,1.75
Tottenham,Newcastle,2,1,H,1.67,4.0,5.75,1.69,2.15
Aston Villa,West Ham,2,1,H,2.63,3.4,2.88,1.95,1.83
Man United,Everton,2,0,H,1.75,3.9,5.0,1.62,2.25
Liverpool,West Brom,0,2,A,1.4,5.0,9.0,1.61,2.26
Liverpool,Swansea,5,0,H,1.57,4.4,6.0,1.66,2.2
Arsenal,Aston Villa,2,1,H,1.33,5.5,11.0,1.53,2.42
Fulham,Stoke,1,0,H,2.2,3.3,3.75,2.15,1.69
Norwich,Everton,2,1,H,3.8,3.5,2.1,1.96,1.83
QPR,Man United,0,2,A,7.0,4.33,1.53,1.73,2.09
Reading,Wigan,0,3,A,2.63,3.4,2.88,1.82,1.97
West Brom,Sunderland,2,1,H,2.05,3.5,4.0,1.99,1.8
Man City,Chelsea,2,0,H,1.95,3.6,4.33,1.71,2.12
Newcastle,Southampton,4,2,H,2.2,3.5,3.2,1.76,2.05
West Ham,Tottenham,2,3,A,3.6,3.5,2.15,1.89,1.89
Chelsea,West Brom,1,0,H,1.4,5.0,9.0,1.57,2.32
Everton,Reading,3,1,H,1.38,5.0,10.0,1.63,2.24
Man United,Norwich,4,0,H,1.33,5.5,11.0,1.58,2.3
Southampton,QPR,1,2,A,1.85,3.8,4.5,1.84,1.95
Stoke,West Ham,0,1,A,2.15,3.25,4.0,2.15,1.68
Sunderland,Fulham,2,2,D,2.4,3.3,3.3,2.07,1.74
Swansea,Newcastle,1,0,H,2.1,3.6,3.75,1.79,2.0
Wigan,Liverpool,0,4,A,4.5,3.75,1.85,1.7,2.13
Tottenham,Arsenal,2,1,H,2.3,3.6,3.25,1.66,2.19
Aston Villa,Man City,0,1,A,7.5,4.5,1.44,1.71,2.11
Norwich,Southampton,0,0,D,2.5,3.4,3.0,1.88,1.91
QPR,Sunderland,3,1,H,2.25,3.4,3.5,2.07,1.75
Reading,Aston Villa,1,2,A,2.45,3.4,3.1,1.82,1.98
West Brom,Swansea,2,1,H,2.45,3.3,3.2,1.84,1.96
Liverpool,Tottenham,3,2,H,1.95,3.8,4.0,1.64,2.22
Newcastle,Stoke,2,1,H,1.83,3.7,4.8,2.05,1.75
Aston Villa,QPR,3,2,H,2.3,3.4,3.4,1.92,1.87
Everton,Man City,2,0,H,3.9,3.6,2.05,1.81,1.98
Man United,Reading,1,0,H,1.17,9.0,19.0,1.31,3.3
Southampton,Liverpool,3,1,H,4.2,3.8,1.91,1.68,2.15
Stoke,West Brom,0,0,D,2.5,3.3,3.1,2.14,1.69
Swansea,Arsenal,0,2,A,3.4,3.5,2.25,1.78,2.02
Chelsea,West Ham,2,0,H,1.4,5.0,9.0,1.53,2.42
Sunderland,Norwich,1,1,D,2.05,3.5,4.0,2.06,1.75
Tottenham,Fulham,0,1,A,1.5,4.5,7.5,1.64,2.23
Wigan,Newcastle,2,1,H,2.3,3.4,3.4,1.77,2.04
Arsenal,Reading,4,1,H,1.25,6.5,15.0,1.41,2.76
Everton,Stoke,1,0,H,1.57,3.9,7.5,2.04,1.76
Man City,Newcastle,4,0,H,1.33,5.5,11.0,1.56,2.35
Southampton,Chelsea,2,1,H,3.5,3.5,2.2,1.71,2.13
Sunderland,Man United,0,1,A,6.0,4.0,1.65,1.94,1.85
Swansea,Tottenham,1,2,A,3.4,3.4,2.3,1.85,1.95
West Ham,West Brom,3,1,H,2.3,3.4,3.4,1.95,1.85
Wigan,Norwich,1,0,H,1.95,3.6,4.33,1.88,1.92
Aston Villa,Liverpool,1,2,A,5.0,4.0,1.75,1.67,2.18
Fulham,QPR,3,2,H,2.0,3.6,4.0,1.91,1.88
Norwich,Swansea,2,2,D,2.63,3.3,2.9,2.06,1.76
Reading,Southampton,0,2,A,3.3,3.6,2.25,1.7,2.12
Stoke,Aston Villa,1,3,A,2.1,3.4,4.0,2.19,1.66
West Brom,Arsenal,1,2,A,4.1,3.7,1.95,1.73,2.1
Chelsea,Sunderland,2,1,H,1.36,5.0,11.0,1.68,2.15
Liverpool,West Ham,0,0,D,1.36,5.5,9.0,1.55,2.37
Newcastle,Fulham,1,0,H,2.1,3.5,3.8,1.81,1.98
QPR,Wigan,1,1,D,2.38,3.4,3.25,1.85,1.95
Tottenham,Everton,2,2,D,2.2,3.4,3.6,2.06,1.74
Man United,Man City,1,2,A,2.3,3.5,3.3,1.75,2.06
Arsenal,Norwich,3,1,H,1.25,6.5,14.0,1.48,2.54
Aston Villa,Fulham,1,1,D,2.3,3.3,3.5,1.94,1.86
Everton,QPR,2,0,H,1.44,4.75,8.0,1.72,2.1
Reading,Liverpool,0,0,D,8.0,4.75,1.45,1.57,2.33
Southampton,West Ham,1,1,D,1.91,3.75,4.2,1.86,1.95
Newcastle,Sunderland,0,3,A,1.95,3.5,4.5,1.96,1.84
Stoke,Man United,0,2,A,7.0,3.9,1.6,2.01,1.79
Arsenal,Everton,0,0,D,1.75,3.9,5.0,1.68,2.18
Fulham,Chelsea,0,3,A,4.75,3.8,1.8,1.75,2.06
Man City,Wigan,1,0,H,1.25,6.5,14.0,1.5,2.5
West Ham,Man United,2,2,D,5.5,3.9,1.7,1.77,2.04
Fulham,Arsenal,0,1,A,5.0,4.0,1.75,1.67,2.17
Norwich,Reading,2,1,H,1.75,3.8,5.25,1.84,1.96
QPR,Stoke,0,2,A,2.25,3.4,3.5,2.17,1.67
Sunderland,Everton,1,0,H,3.4,3.4,2.3,2.06,1.76
Swansea,Southampton,0,0,D,2.38,3.5,3.1,1.75,2.06
West Brom,Newcastle,1,1,D,2.25,3.5,3.4,1.77,2.04
West Ham,Wigan,2,0,H,2.3,3.5,3.3,1.86,1.94
Liverpool,Chelsea,2,2,D,2.15,3.6,3.6,1.73,2.09
Tottenham,Man City,3,1,H,3.25,3.6,2.3,1.87,1.92
Man United,Aston Villa,3,0,H,1.25,6.75,13.0,1.39,2.84
Everton,Fulham,1,0,H,1.5,4.5,7.5,1.72,2.11
Man City,West Ham,2,1,H,1.29,6.0,12.0,1.51,2.49
Newcastle,Liverpool,0,6,A,2.88,3.6,2.5,1.81,2.0
Southampton,West Brom,0,3,A,1.85,3.75,4.6,1.79,2.02
Stoke,Norwich,1,0,H,2.25,3.3,3.6,2.35,1.57
