HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,Season
Fulham,Everton,1,3,A,2.25,3.25,3.3,2.2,1.64,2011
Man United,Man City,1,6,A,2.0,3.4,3.8,1.76,2.02,2011
QPR,Chelsea,1,0,H,9.5,5.0,1.33,1.66,2.16,2011
Chelsea,Arsenal,3,5,A,1.62,4.0,5.5,1.67,2.15,2011
Everton,Man United,0,1,A,4.5,3.6,1.8,1.84,1.94,2011
Man City,Wolves,3,1,H,1.17,7.0,19.0,1.39,2.8,2011
Norwich,Blackburn,3,3,D,1.91,3.6,4.0,1.85,1.92,2011
Sunderland,Aston Villa,2,2,D,2.1,3.3,3.6,2.02,1.76,2011
Swansea,Bolton,3,1,H,2.1,3.3,3.6,1.89,1.88,2011
West Brom,Liverpool,0,2,A,4.0,3.3,2.0,1.99,1.79,2011
Wigan,Fulham,0,2,A,2.88,3.25,2.5,2.1,1.7,2011
Tottenham,QPR,3,1,H,1.36,4.75,9.0,1.57,2.28,2011
Stoke,Newcastle,1,3,A,2.1,3.2,3.8,2.19,1.64,2011
Arsenal,West Brom,3,0,H,1.4,4.5,8.5,1.58,2.25,2011
Aston Villa,Norwich,3,2,H,1.83,3.5,4.5,1.85,1.93,2011
Blackburn,Chelsea,0,1,A,7.5,4.33,1.44,1.56,2.31,2011
Liverpool,Swansea,0,0,D,1.29,5.5,10.0,1.6,2.22,2011
Man United,Sunderland,1,0,H,1.25,5.5,13.0,1.48,2.5,2011
Newcastle,Everton,2,1,H,2.25,3.25,3.3,2.02,1.76,2011
QPR,Man City,2,3,A,10.0,5.0,1.33,1.53,2.37,2011
Bolton,Stoke,5,0,H,2.4,3.3,3.0,1.91,1.87,2011
Fulham,Tottenham,1,3,A,3.25,3.3,2.25,1.85,1.92,2011
Wolves,Wigan,3,1,H,1.91,3.3,4.33,1.96,1.82,2011
Everton,Wolves,2,1,H,1.57,3.75,6.5,1.87,1.9,2011
Man City,Newcastle,3,1,H,1.3,5.5,10.0,1.53,2.39,2011
Norwich,Arsenal,1,2,A,5.5,3.6,1.67,1.59,2.26,2011
Stoke,QPR,2,3,A,1.83,3.5,4.5,2.04,1.75,2011
Sunderland,Fulham,0,0,D,2.3,3.25,3.2,2.07,1.72,2011
Swansea,Man United,0,1,A,6.5,4.2,1.5,1.79,1.99,2011
West Brom,Bolton,2,1,H,2.0,3.4,3.8,1.79,1.99,2011
Wigan,Blackburn,3,3,D,2.5,3.25,2.88,1.88,1.89,2011
Chelsea,Liverpool,1,2,A,1.83,3.5,4.5,1.86,1.92,2011
Tottenham,Aston Villa,2,0,H,1.57,4.0,6.0,1.6,2.23,2011
