HomeTeam,AwayTeam,FTR,B365H,BbAv>2.5,Season
Liverpool,Leicester,H,1.3,1.4,2017
Man United,Southampton,D,1.36,1.75,2017
Newcastle,Brighton,D,2.14,2.45,2017
Watford,Swansea,A,1.66,2.06,2017
Crystal Palace,Man City,D,11.0,1.4,2017
West Brom,Arsenal,D,5.0,1.82,2017
Brighton,Bournemouth,D,2.37,2.46,2017
Burnley,Liverpool,A,7.5,1.8,2017
Everton,Man United,A,5.5,2.29,2017
Leicester,Huddersfield,H,1.66,2.0,2017
Stoke,Newcastle,A,2.29,2.07,2017
Man City,Watford,H,1.12,1.33,2017
Southampton,Crystal Palace,A,1.9,2.02,2017
Swansea,Tottenham,A,12.0,1.75,2017
West Ham,West Brom,H,1.9,2.36,2017
Arsenal,Chelsea,D,2.6,1.65,2017
Tottenham,West Ham,D,1.25,1.55,2017
Chelsea,Leicester,D,1.3,1.55,2017
Crystal Palace,Burnley,H,2.0,2.38,2017
Huddersfield,West Ham,A,2.62,2.48,2017
Newcastle,Swansea,D,1.95,2.35,2017
Tottenham,Everton,H,1.28,1.7,2017
Watford,Southampton,D,2.5,1.94,2017
West Brom,Brighton,H,2.14,2.91,2017
Bournemouth,Arsenal,H,4.75,1.51,2017
Liverpool,Man City,H,3.1,1.52,2017
Man United,Stoke,H,1.22,1.5,2017
Arsenal,Crystal Palace,H,1.5,1.59,2017
Brighton,Chelsea,A,6.5,2.19,2017
Burnley,Man United,A,7.5,2.18,2017
Everton,West Brom,D,2.14,2.52,2017
Leicester,Watford,H,1.85,1.74,2017
Man City,Newcastle,H,1.12,1.3,2017
Stoke,Huddersfield,H,2.04,2.21,2017
West Ham,Bournemouth,D,2.0,1.87,2017
Southampton,Tottenham,D,5.75,1.81,2017
Swansea,Liverpool,H,12.0,1.66,2017
Huddersfield,Liverpool,A,12.0,1.68,2017
Swansea,Arsenal,H,7.0,1.76,2017
West Ham,Crystal Palace,D,3.1,2.14,2017
Chelsea,Bournemouth,A,1.28,1.52,2017
Everton,Leicester,H,3.0,2.22,2017
Man City,West Brom,H,1.14,1.44,2017
Newcastle,Burnley,D,2.2,2.58,2017
Southampton,Brighton,D,1.75,2.36,2017
Stoke,Watford,D,2.25,1.84,2017
Tottenham,Man United,H,2.35,1.92,2017
Arsenal,Everton,H,1.3,1.57,2017
Bournemouth,Stoke,H,1.9,1.83,2017
Brighton,West Ham,H,2.35,2.56,2017
Burnley,Man City,D,13.0,1.68,2017
Leicester,Swansea,D,1.8,2.08,2017
Man United,Huddersfield,H,1.16,1.57,2017
West Brom,Southampton,A,2.54,2.33,2017
Crystal Palace,Newcastle,D,2.04,2.14,2017
Liverpool,Tottenham,D,2.1,1.59,2017
Watford,Chelsea,H,6.25,1.85,2017
Everton,Crystal Palace,H,2.25,2.25,2017
Man City,Leicester,H,1.19,1.38,2017
Stoke,Brighton,D,2.2,2.35,2017
Swansea,Burnley,H,2.37,2.76,2017
Tottenham,Arsenal,H,2.0,1.5,2017
West Ham,Watford,H,2.5,1.98,2017
Huddersfield,Bournemouth,H,3.25,2.27,2017
Newcastle,Man United,H,5.5,2.0,2017
Southampton,Liverpool,A,4.2,1.69,2017
Chelsea,West Brom,H,1.36,1.73,2017
Bournemouth,Newcastle,D,2.1,1.96,2017
Brighton,Swansea,H,2.14,2.58,2017
Burnley,Southampton,D,2.89,2.55,2017
Leicester,Stoke,D,1.72,1.89,2017
Liverpool,West Ham,H,1.22,1.43,2017
