HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Avg>2.5,Avg<2.5
Newcastle,Fulham,1,1,D,2.5,3.25,2.9,2.14,1.72
Brighton,Sheffield United,1,1,D,1.65,3.75,5.5,2.22,1.67
Tottenham,Leicester,0,2,A,2.05,3.5,3.6,1.78,2.05
Man United,Leeds,6,2,H,1.66,4.33,4.5,1.5,2.6
West Brom,Aston Villa,0,3,A,3.6,3.8,1.95,1.75,2.1
Burnley,Wolves,2,1,H,3.5,3.25,2.2,2.56,1.51
Chelsea,West Ham,3,0,H,1.44,5.0,6.25,1.55,2.44
Leicester,Man United,2,2,D,2.9,3.6,2.3,1.68,2.2
Aston Villa,Crystal Palace,3,0,H,1.9,3.75,3.8,1.77,2.06
Fulham,Southampton,0,0,D,3.2,3.3,2.3,1.96,1.85
Arsenal,Chelsea,3,1,H,4.0,3.6,1.9,1.91,1.91
Man City,Newcastle,2,0,H,1.11,10.0,19.0,1.36,3.14
Sheffield United,Everton,0,1,A,4.2,3.6,1.85,1.95,1.87
Leeds,Burnley,1,0,H,1.72,4.0,4.33,1.6,2.37
West Ham,Brighton,2,2,D,2.3,3.4,3.1,1.94,1.88
Liverpool,West Brom,1,1,D,1.11,10.0,19.0,1.36,3.13
Wolves,Tottenham,1,1,D,3.6,3.25,2.15,2.2,1.68
Crystal Palace,Leicester,1,1,D,3.75,3.5,2.0,1.88,1.94
Chelsea,Aston Villa,1,1,D,1.61,4.2,5.0,1.55,2.45
Brighton,Arsenal,0,1,A,3.25,3.5,2.2,2.04,1.79
Burnley,Sheffield United,1,0,H,2.37,3.1,3.25,2.43,1.57
Southampton,West Ham,0,0,D,2.1,3.6,3.4,1.9,1.92
West Brom,Leeds,0,5,A,3.6,3.6,2.0,1.61,2.32
Man United,Wolves,1,0,H,1.53,4.2,6.25,1.92,1.9
Newcastle,Liverpool,0,0,D,12.0,6.0,1.25,1.5,2.6
Everton,West Ham,0,1,A,2.1,3.5,3.5,1.96,1.86
Man United,Aston Villa,2,1,H,1.72,4.2,4.2,1.54,2.48
Tottenham,Leeds,3,0,H,1.75,4.1,4.2,1.44,2.79
Crystal Palace,Sheffield United,2,0,H,1.95,3.5,3.9,2.25,1.65
Brighton,Wolves,3,3,D,2.62,3.25,2.75,2.43,1.56
West Brom,Arsenal,0,4,A,5.75,4.0,1.57,1.84,1.98
Newcastle,Leicester,1,2,A,5.25,4.2,1.61,1.86,1.96
Chelsea,Man City,1,3,A,3.0,3.7,2.2,1.72,2.12
Southampton,Liverpool,1,0,H,5.0,4.33,1.61,1.63,2.29
Sheffield United,Newcastle,1,0,H,2.45,3.1,3.1,2.5,1.54
Burnley,Man United,0,1,A,7.0,4.5,1.45,1.71,2.17
Wolves,Everton,1,2,A,2.45,3.1,3.1,2.39,1.59
Man City,Brighton,1,0,H,1.14,8.5,16.0,1.48,2.64
Tottenham,Fulham,1,1,D,1.36,5.0,8.5,1.68,2.21
Arsenal,Crystal Palace,0,0,D,1.53,4.0,6.5,1.87,1.95
Wolves,West Brom,2,3,A,1.6,3.5,7.0,2.28,1.64
Leeds,Brighton,0,1,A,2.1,3.5,3.4,1.62,2.32
West Ham,Burnley,1,0,H,1.8,3.5,4.75,2.1,1.74
Fulham,Chelsea,0,1,A,6.5,4.33,1.5,1.77,2.07
Leicester,Southampton,2,0,H,1.8,3.75,4.5,1.88,1.94
Sheffield United,Tottenham,1,3,A,6.25,3.75,1.6,2.04,1.79
Liverpool,Man United,0,0,D,1.95,3.8,3.6,1.68,2.21
Man City,Crystal Palace,4,0,H,1.14,8.5,17.0,1.49,2.62
Arsenal,Newcastle,3,0,H,1.4,4.5,8.0,1.79,2.05
West Ham,West Brom,2,1,H,1.57,4.2,5.5,1.89,1.93
Leicester,Chelsea,2,0,H,2.87,3.4,2.45,1.89,1.94
Man City,Aston Villa,2,0,H,1.22,6.5,12.0,1.48,2.65
Fulham,Man United,1,2,A,6.0,4.33,1.53,1.73,2.13
Liverpool,Burnley,0,1,A,1.18,7.5,15.0,1.52,2.53
Aston Villa,Newcastle,2,0,H,1.45,4.75,6.5,1.69,2.2
Crystal Palace,West Ham,2,3,A,3.1,3.25,2.37,2.2,1.69
Newcastle,Leeds,1,2,A,3.9,3.8,1.85,1.67,2.23
Southampton,Arsenal,1,3,A,3.5,3.6,2.05,1.78,2.05
West Brom,Man City,0,5,A,15.0,7.5,1.18,1.57,2.42
Burnley,Aston Villa,3,2,H,3.8,3.5,1.95,1.9,1.92
Chelsea,Wolves,0,0,D,1.6,4.2,5.25,1.94,1.89
Brighton,Fulham,0,0,D,2.05,3.4,3.75,2.17,1.71
Everton,Leicester,1,1,D,2.8,3.3,2.55,2.03,1.8
Man United,Sheffield United,1,2,A,1.25,6.0,11.0,1.66,2.24
Tottenham,Liverpool,1,3,A,3.2,3.6,2.2,1.8,2.04
Everton,Newcastle,0,2,A,1.55,4.0,6.5,1.99,1.84
Crystal Palace,Wolves,1,0,H,2.87,3.2,2.55,2.46,1.56
Man City,Sheffield United,1,0,H,1.12,9.0,18.0,1.49,2.63
West Brom,Fulham,2,2,D,3.3,3.2,2.3,2.18,1.7
Arsenal,Man United,0,0,D,2.8,3.5,2.45,1.82,2.01
Southampton,Aston Villa,0,1,A,2.8,3.6,2.37,1.7,2.18
